[0/200] [200 steps] [state (19, 33)] [goal (105, 178)] [h_dist 231]
[0/200] [201 steps] [state (20, 33)] [goal (105, 178)] [h_dist 230]
[0/200] [202 steps] [state (20, 32)] [goal (105, 178)] [h_dist 231]
[0/200] [203 steps] [state (20, 31)] [goal (105, 178)] [h_dist 232]
[0/200] [204 steps] [state (21, 31)] [goal (105, 178)] [h_dist 231]
[0/200] [205 steps] [state (22, 31)] [goal (105, 178)] [h_dist 230]
[0/200] [206 steps] [state (22, 30)] [goal (105, 178)] [h_dist 231]
[0/200] [207 steps] [state (22, 31)] [goal (105, 178)] [h_dist 230]
[0/200] [208 steps] [state (23, 31)] [goal (105, 178)] [h_dist 229]
[0/200] [209 steps] [state (23, 30)] [goal (105, 178)] [h_dist 230]
[0/200] [210 steps] [state (23, 31)] [goal (105, 178)] [h_dist 229]
[0/200] [211 steps] [state (23, 32)] [goal (105, 178)] [h_dist 228]
[0/200] [212 steps] [state (22, 32)] [goal (105, 178)] [h_dist 229]
[0/200] [213 steps] [state (22, 33)] [goal (105, 178)] [h_dist 228]
[0/200] [214 steps] [state (21, 33)] [goal (105, 178)] [h_dist 229]
[0/200] [215 steps] [state (20, 33)] [goal (105, 178)] [h_dist 230]
[0/200] [216 steps] [state (19, 33)] [goal (105, 178)] [h_dist 231]
[0/200] [217 steps] [state (18, 33)] [goal (105, 178)] [h_dist 232]
[0/200] [218 steps] [state (17, 33)] [goal (105, 178)] [h_dist 233]
[0/200] [219 steps] [state (17, 32)] [goal (105, 178)] [h_dist 234]
[0/200] [220 steps] [state (16, 32)] [goal (105, 178)] [h_dist 235]
[0/200] [221 steps] [state (17, 32)] [goal (105, 178)] [h_dist 234]
[0/200] [222 steps] [state (18, 32)] [goal (105, 178)] [h_dist 233]
[0/200] [223 steps] [state (19, 32)] [goal (105, 178)] [h_dist 232]
[0/200] [224 steps] [state (20, 32)] [goal (105, 178)] [h_dist 231]
[0/200] [225 steps] [state (21, 32)] [goal (105, 178)] [h_dist 230]
[0/200] [226 steps] [state (20, 32)] [goal (105, 178)] [h_dist 231]
[0/200] [227 steps] [state (21, 32)] [goal (105, 178)] [h_dist 230]
[0/200] [228 steps] [state (21, 33)] [goal (105, 178)] [h_dist 229]
[0/200] [229 steps] [state (21, 32)] [goal (105, 178)] [h_dist 230]
[0/200] [230 steps] [state (22, 32)] [goal (105, 178)] [h_dist 229]
[0/200] [231 steps] [state (23, 32)] [goal (105, 178)] [h_dist 228]
[0/200] [232 steps] [state (24, 32)] [goal (105, 178)] [h_dist 227]
[0/200] [233 steps] [state (24, 31)] [goal (105, 178)] [h_dist 228]
[0/200] [234 steps] [state (24, 30)] [goal (105, 178)] [h_dist 229]
[0/200] [235 steps] [state (24, 31)] [goal (105, 178)] [h_dist 228]
[0/200] [236 steps] [state (24, 31)] [goal (105, 178)] [h_dist 228]
[0/200] [237 steps] [state (24, 31)] [goal (105, 178)] [h_dist 228]
[0/200] [238 steps] [state (24, 31)] [goal (105, 178)] [h_dist 228]
[0/200] [239 steps] [state (24, 32)] [goal (105, 178)] [h_dist 227]
[0/200] [240 steps] [state (23, 32)] [goal (105, 178)] [h_dist 228]
[0/200] [241 steps] [state (23, 33)] [goal (105, 178)] [h_dist 227]
[0/200] [242 steps] [state (23, 34)] [goal (105, 178)] [h_dist 226]
[0/200] [243 steps] [state (23, 33)] [goal (105, 178)] [h_dist 227]
[0/200] [244 steps] [state (23, 34)] [goal (105, 178)] [h_dist 226]
[0/200] [245 steps] [state (23, 33)] [goal (105, 178)] [h_dist 227]
[0/200] [246 steps] [state (23, 34)] [goal (105, 178)] [h_dist 226]
[0/200] [247 steps] [state (23, 33)] [goal (105, 178)] [h_dist 227]
[0/200] [248 steps] [state (24, 33)] [goal (105, 178)] [h_dist 226]
[0/200] [249 steps] [state (24, 32)] [goal (105, 178)] [h_dist 227]
[0/200] [250 steps] [state (24, 31)] [goal (105, 178)] [h_dist 228]
[0/200] [251 steps] [state (23, 31)] [goal (105, 178)] [h_dist 229]
[0/200] [252 steps] [state (23, 30)] [goal (105, 178)] [h_dist 230]
[0/200] [253 steps] [state (23, 31)] [goal (105, 178)] [h_dist 229]
[0/200] [254 steps] [state (22, 31)] [goal (105, 178)] [h_dist 230]
[0/200] [255 steps] [state (22, 32)] [goal (105, 178)] [h_dist 229]
[0/200] [256 steps] [state (23, 32)] [goal (105, 178)] [h_dist 228]
[0/200] [257 steps] [state (23, 31)] [goal (105, 178)] [h_dist 229]
[0/200] [258 steps] [state (24, 31)] [goal (105, 178)] [h_dist 228]
[0/200] [259 steps] [state (23, 31)] [goal (105, 178)] [h_dist 229]
[0/200] [260 steps] [state (23, 30)] [goal (105, 178)] [h_dist 230]
[0/200] [261 steps] [state (22, 30)] [goal (105, 178)] [h_dist 231]
[0/200] [262 steps] [state (21, 30)] [goal (105, 178)] [h_dist 232]
[0/200] [263 steps] [state (22, 30)] [goal (105, 178)] [h_dist 231]
[0/200] [264 steps] [state (23, 30)] [goal (105, 178)] [h_dist 230]
[0/200] [265 steps] [state (23, 31)] [goal (105, 178)] [h_dist 229]
[0/200] [266 steps] [state (22, 31)] [goal (105, 178)] [h_dist 230]
[0/200] [267 steps] [state (22, 30)] [goal (105, 178)] [h_dist 231]
[0/200] [268 steps] [state (21, 30)] [goal (105, 178)] [h_dist 232]
[0/200] [269 steps] [state (21, 29)] [goal (105, 178)] [h_dist 233]
[0/200] [270 steps] [state (21, 28)] [goal (105, 178)] [h_dist 234]
[0/200] [271 steps] [state (21, 27)] [goal (105, 178)] [h_dist 235]
[0/200] [272 steps] [state (21, 26)] [goal (105, 178)] [h_dist 236]
[0/200] [273 steps] [state (22, 26)] [goal (105, 178)] [h_dist 235]
